"Season","Squad","Comp","Player","Nation","Pos","Age","MP_Playing_Time","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G.A","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G.A_Per_Minutes","G_minus_PK_Per_Minutes","G.A_minus_PK_Per_Minutes","PlayerURL","MP","LeagueName","LeagueURL","StatType"
"2025-2026","Wehen Wiesbaden","3. Liga","Jordy Gillekens","BEL","DF",25,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/99a9b51f/Jordy-Gillekens",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Wehen Wiesbaden","3. Liga","Justin Janitzek","GER","DF",21,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e207cef0/Justin-Janitzek",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Wehen Wiesbaden","3. Liga","Ryan Johansson","IRL","MF",24,1,1,90,1,1,0,1,1,0,0,0,0,1,0,1,1,1,"https://fbref.com/en/players/93750f7d/Ryan-Johansson",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Wehen Wiesbaden","3. Liga","Niklas May","GER","DF",23,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/c8dc5cb0/Niklas-May",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Wehen Wiesbaden","3. Liga","Sascha Mockenhaupt","GER","DF",33,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/1b6ef8cd/Sascha-Mockenhaupt",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Wehen Wiesbaden","3. Liga","Florian Stritzel","GER","GK",31,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/ae7717b9/Florian-Stritzel",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Wehen Wiesbaden","3. Liga","Fatih Kaya","","FW",25,1,1,89,1,1,0,1,1,0,1,0,0,1.01,0,1.01,1.01,1.01,"https://fbref.com/en/players/3e56a918/Fatih-Kaya",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Wehen Wiesbaden","3. Liga","Orestis Kiomourtzoglou","GER","MF",27,1,1,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/7e138639/Orestis-Kiomourtzoglou",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Wehen Wiesbaden","3. Liga","Moritz Flotho","GER","FW",23,1,1,83,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/f47ff834/Moritz-Flotho",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Wehen Wiesbaden","3. Liga","Tarik Gözüsirin","GER","MF",23,1,1,64,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/59ff1aa6/Tarik-Gozusirin",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Wehen Wiesbaden","3. Liga","Lukas Schleimer","GER","MF",25,1,1,64,0.7,0,1,1,0,0,0,0,0,0,1.41,1.41,0,1.41,"https://fbref.com/en/players/11629e82/Lukas-Schleimer",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Wehen Wiesbaden","3. Liga","Donny Bogicevic","GER","MF",23,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/253130f5/Donny-Bogicevic",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Wehen Wiesbaden","3. Liga","Gino Fechner","GER","DF,MF",27,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/93d665dc/Gino-Fechner",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Wehen Wiesbaden","3. Liga","Nikolas Agrafiotis","NED","FW",25,1,0,7,0.1,1,0,1,1,0,0,0,0,12.86,0,12.86,12.86,12.86,"https://fbref.com/en/players/72a63c0b/Nikolas-Agrafiotis",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Wehen Wiesbaden","3. Liga","Milad Nejad","GER","MF",21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/3236d969/Milad-Nejad",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Wehen Wiesbaden","3. Liga","Ole Wohlers","GER","FW",25,1,0,1,0,0,1,1,0,0,0,0,0,0,90,90,0,90,"https://fbref.com/en/players/b44f69bf/Ole-Wohlers",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Wehen Wiesbaden","3. Liga","Jan Becker","GER","FW",18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/2d16a0f9/Jan-Becker",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Wehen Wiesbaden","3. Liga","Noah Brdar","GER","GK",19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/25b91e2d/Noah-Brdar",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Wehen Wiesbaden","3. Liga","Fabian Greilinger","GER","DF,MF",24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/350bd5db/Fabian-Greilinger",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Wehen Wiesbaden","3. Liga","Felix Luckeneder","AUT","DF",31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/944ae938/Felix-Luckeneder",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Viktoria Köln","3. Liga","Christoph Greger","GER","DF",28,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/3c7526e6/Christoph-Greger",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Viktoria Köln","3. Liga","Eduardo Dos Santos Haesler","GER","GK",26,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/1b9a46d1/Eduardo-Dos-Santos-Haesler",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Viktoria Köln","3. Liga","Simon Handle","AUT","MF",32,1,1,90,1,1,0,1,1,0,0,0,0,1,0,1,1,1,"https://fbref.com/en/players/16396327/Simon-Handle",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Viktoria Köln","3. Liga","Lex Lobinger","GER","FW",26,1,1,90,1,1,0,1,1,0,0,0,0,1,0,1,1,1,"https://fbref.com/en/players/8bc535f0/Lex-Lobinger",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Viktoria Köln","3. Liga","David Otto","GER","FW",26,1,1,90,1,0,1,1,0,0,0,0,0,0,1,1,0,1,"https://fbref.com/en/players/676ff98c/David-Otto",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Viktoria Köln","3. Liga","Jonah Sticker","GER","DF",21,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/bc74e4b7/Jonah-Sticker",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
"2025-2026","Viktoria Köln","3. Liga","Lars Dietz","GER","DF",28,1,1,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/b125ea9f/Lars-Dietz",NA,"3 Liga","https://fbref.com/en/comps/59/3-Liga-Stats","standard"
