"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Event_Time","Is_Pens","Event_Half","Event_Type","Event_Players","Score_Progression","Penalty_Number","player_name_goal","player_name_ast","player_name_pen","year"
"AFC Asian Cup","2019-01-05","AFC Asian Cup (Group stage)","United Arab Emirates","4-4-1-1",1,NA,"Ahmed Khalil (P) · 88&rsquor;","2","0","Bahrain","4-4-2",1,NA,"Mohamed Al Romaihi · 78&rsquor;","0","0","https://fbref.com/en/matches/c37c00bb/United-Arab-Emirates-Bahrain-January-5-2019-Asian-Cup","United Arab Emirates","Home",88,FALSE,2,"Penalty","Ahmed Khalil Penalty Kick","1:1",NA,NA,NA,"Ahmed Khalil",2019
"AFC Asian Cup","2019-01-06","AFC Asian Cup (Group stage)","Thailand","4-2-3-1",1,NA,"Teerasil Dangda · 33&rsquor;","2","0","India","4-4-2",4,NA,"Sunil Chhetri (P) · 27&rsquor; Sunil Chhetri · 46&rsquor; Anirudh Thapa · 68&rsquor; Jeje Lalpekhlua · 80&rsquor;","0","0","https://fbref.com/en/matches/fe455b8f/Thailand-India-January-6-2019-Asian-Cup","India","Away",27,FALSE,1,"Penalty","Sunil Chhetri Penalty Kick -","0:1",NA,NA,NA,"Sunil Chhetri",2019
"AFC Asian Cup","2019-01-09","AFC Asian Cup (Group stage)","Japan","4-2-3-1",3,NA,"Yuya Osako · 56&rsquor; Yuya Osako · 60&rsquor; Ritsu Doan · 71&rsquor;","2","0","Turkmenistan","5-4-1",2,NA,"Arslanmyrat Amanow · 26&rsquor; Ahmet Ataýew (P) · 79&rsquor;","1","0","https://fbref.com/en/matches/08f785da/Japan-Turkmenistan-January-9-2019-Asian-Cup","Turkmenistan","Away",79,FALSE,2,"Penalty","Ahmet Atayew Penalty Kick","3:2",NA,NA,NA,"Ahmet Atayew",2019
"AFC Asian Cup","2019-01-13","AFC Asian Cup (Group stage)","Oman","4-2-3-1",0,NA,"","3","0","Japan","4-2-3-1",1,NA,"Genki Haraguchi (P) · 28&rsquor;","2","0","https://fbref.com/en/matches/f820713c/Oman-Japan-January-13-2019-Asian-Cup","Japan","Away",28,FALSE,1,"Penalty","Genki Haraguchi Penalty Kick","0:1",NA,NA,NA,"Genki Haraguchi",2019
"AFC Asian Cup","2019-01-14","AFC Asian Cup (Group stage)","India","4-4-1-1",0,NA,"","0","0","Bahrain","4-2-3-1",1,NA,"Jamal Rashid (P) · 90+1&rsquor;","2","0","https://fbref.com/en/matches/259966ba/India-Bahrain-January-14-2019-Asian-Cup","Bahrain","Away",91,FALSE,2,"Penalty","Jamal Rashid Penalty Kick","0:1",NA,NA,NA,"Jamal Rashid",2019
"AFC Asian Cup","2019-01-15","AFC Asian Cup (Group stage)","Australia","4-2-3-1",3,NA,"Awer Mabil · 41&rsquor; Chris Ikonomidis · 54&rsquor; Tom Rogic · 90+3&rsquor;","1","0","Syria","4-4-1-1",2,NA,"Omar Kharbin · 43&rsquor; Omar Al Somah (P) · 80&rsquor;","1","0","https://fbref.com/en/matches/1e8f658c/Australia-Syria-January-15-2019-Asian-Cup","Syria","Away",80,FALSE,2,"Penalty","Omar Al Somah Penalty Kick","2:2",NA,NA,NA,"Omar Al Somah",2019
"AFC Asian Cup","2019-01-16","AFC Asian Cup (Group stage)","Korea Republic","4-2-3-1",2,NA,"Hwang Ui-jo (P) · 14&rsquor; Kim Min-jae · 51&rsquor;","0","0","China PR","4-3-3",0,NA,"","4","0","https://fbref.com/en/matches/4e0ce35f/Korea-Republic-China-PR-January-16-2019-Asian-Cup","Korea Republic","Home",14,FALSE,1,"Penalty","Hwang Ui-jo Penalty Kick -","1:0",NA,NA,NA,"Hwang Ui-jo",2019
"AFC Asian Cup","2019-01-16","AFC Asian Cup (Group stage)","Vietnam","5-4-1",2,NA,"Nguy<U+1EC5>n Quang H<U+1EA3>i · 38&rsquor; Qu<U+1EBF> Ng<U+1ECD>c H<U+1EA3>i (P) · 64&rsquor;","1","0","Yemen","5-4-1",0,NA,"","3","0","https://fbref.com/en/matches/de573890/Vietnam-Yemen-January-16-2019-Asian-Cup","Vietnam","Home",64,FALSE,2,"Penalty","Que Ngoc Hai Penalty Kick","2:0",NA,NA,NA,"Que Ngoc Hai",2019
"AFC Asian Cup","2019-01-17","AFC Asian Cup (Group stage)","Saudi Arabia","4-1-4-1",0,NA,"","2","0","Qatar","3-5-2",2,NA,"Almoez Ali · 45+1&rsquor; Almoez Ali · 80&rsquor;","3","0","https://fbref.com/en/matches/4a292493/Saudi-Arabia-Qatar-January-17-2019-Asian-Cup","Qatar","Away",42,FALSE,1,"Penalty","Hassan Al-Haydos Penalty saved by Mohammed Al-Owais","0:0",NA,NA,NA,"Hassan Al-Haydos",2019
"AFC Asian Cup","2019-01-17","AFC Asian Cup (Group stage)","Lebanon","4-3-3",4,NA,"Felix Michel · 27&rsquor; Hilal El-Helwe · 65&rsquor; Hassan Maatouk (P) · 80&rsquor; Hilal El-Helwe · 90+8&rsquor;","2","0","Korea DPR","4-2-3-1",1,NA,"Pak Kwang-ryong · 9&rsquor;","4","0","https://fbref.com/en/matches/388e80cd/Lebanon-Korea-DPR-January-17-2019-Asian-Cup","Lebanon","Home",80,FALSE,2,"Penalty","Hassan Maatouk Penalty Kick","3:1",NA,NA,NA,"Hassan Maatouk",2019
