"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Event_Time","Is_Pens","Event_Half","Event_Type","Event_Players","Score_Progression","Penalty_Number","player_name_goal","player_name_ast","player_name_pen"
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Cameroon","4-1-4-1",2,NA,"Vincent Aboubakar (P) · 40&rsquor; Vincent Aboubakar (P) · 45+3&rsquor;","1","0","Burkina Faso","4-2-3-1",1,NA,"Gustavo Sangaré · 24&rsquor;","2","0","https://fbref.com/en/matches/5ddd2df6/Cameroon-Burkina-Faso-January-9-2022-Africa-Cup-of-Nations","Burkina Faso","Away",1,FALSE,1,"Yellow Card","Steeve Yago","0:0",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Cameroon","4-1-4-1",2,NA,"Vincent Aboubakar (P) · 40&rsquor; Vincent Aboubakar (P) · 45+3&rsquor;","1","0","Burkina Faso","4-2-3-1",1,NA,"Gustavo Sangaré · 24&rsquor;","2","0","https://fbref.com/en/matches/5ddd2df6/Cameroon-Burkina-Faso-January-9-2022-Africa-Cup-of-Nations","Burkina Faso","Away",24,FALSE,1,"Goal","Gustavo Sangaré Assist: Bertrand Traoré","0:1",NA,"Gustavo Sangaré","Bertrand Traoré",NA
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Cameroon","4-1-4-1",2,NA,"Vincent Aboubakar (P) · 40&rsquor; Vincent Aboubakar (P) · 45+3&rsquor;","1","0","Burkina Faso","4-2-3-1",1,NA,"Gustavo Sangaré · 24&rsquor;","2","0","https://fbref.com/en/matches/5ddd2df6/Cameroon-Burkina-Faso-January-9-2022-Africa-Cup-of-Nations","Burkina Faso","Away",32,FALSE,1,"Yellow Card","Patrick Malo","0:1",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Cameroon","4-1-4-1",2,NA,"Vincent Aboubakar (P) · 40&rsquor; Vincent Aboubakar (P) · 45+3&rsquor;","1","0","Burkina Faso","4-2-3-1",1,NA,"Gustavo Sangaré · 24&rsquor;","2","0","https://fbref.com/en/matches/5ddd2df6/Cameroon-Burkina-Faso-January-9-2022-Africa-Cup-of-Nations","Cameroon","Home",40,FALSE,1,"Penalty","Vincent Aboubakar Penalty Kick","1:1",NA,NA,NA,"Vincent Aboubakar"
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Cameroon","4-1-4-1",2,NA,"Vincent Aboubakar (P) · 40&rsquor; Vincent Aboubakar (P) · 45+3&rsquor;","1","0","Burkina Faso","4-2-3-1",1,NA,"Gustavo Sangaré · 24&rsquor;","2","0","https://fbref.com/en/matches/5ddd2df6/Cameroon-Burkina-Faso-January-9-2022-Africa-Cup-of-Nations","Cameroon","Home",42,FALSE,1,"Yellow Card","Jérôme Onguéné","1:1",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Cameroon","4-1-4-1",2,NA,"Vincent Aboubakar (P) · 40&rsquor; Vincent Aboubakar (P) · 45+3&rsquor;","1","0","Burkina Faso","4-2-3-1",1,NA,"Gustavo Sangaré · 24&rsquor;","2","0","https://fbref.com/en/matches/5ddd2df6/Cameroon-Burkina-Faso-January-9-2022-Africa-Cup-of-Nations","Cameroon","Home",48,FALSE,1,"Penalty","Vincent Aboubakar Penalty Kick","2:1",NA,NA,NA,"Vincent Aboubakar"
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Cameroon","4-1-4-1",2,NA,"Vincent Aboubakar (P) · 40&rsquor; Vincent Aboubakar (P) · 45+3&rsquor;","1","0","Burkina Faso","4-2-3-1",1,NA,"Gustavo Sangaré · 24&rsquor;","2","0","https://fbref.com/en/matches/5ddd2df6/Cameroon-Burkina-Faso-January-9-2022-Africa-Cup-of-Nations","Cameroon","Home",69,FALSE,2,"Substitute","Eric Maxim Choupo-Moting for Pierre Kunde","2:1",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Cameroon","4-1-4-1",2,NA,"Vincent Aboubakar (P) · 40&rsquor; Vincent Aboubakar (P) · 45+3&rsquor;","1","0","Burkina Faso","4-2-3-1",1,NA,"Gustavo Sangaré · 24&rsquor;","2","0","https://fbref.com/en/matches/5ddd2df6/Cameroon-Burkina-Faso-January-9-2022-Africa-Cup-of-Nations","Cameroon","Home",69,FALSE,2,"Substitute","Clinton N'Jie for Karl Toko Ekambi","2:1",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Cameroon","4-1-4-1",2,NA,"Vincent Aboubakar (P) · 40&rsquor; Vincent Aboubakar (P) · 45+3&rsquor;","1","0","Burkina Faso","4-2-3-1",1,NA,"Gustavo Sangaré · 24&rsquor;","2","0","https://fbref.com/en/matches/5ddd2df6/Cameroon-Burkina-Faso-January-9-2022-Africa-Cup-of-Nations","Burkina Faso","Away",71,FALSE,2,"Substitute","Mohamed Konaté for Abdoul-Fessal Tapsoba","2:1",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Cameroon","4-1-4-1",2,NA,"Vincent Aboubakar (P) · 40&rsquor; Vincent Aboubakar (P) · 45+3&rsquor;","1","0","Burkina Faso","4-2-3-1",1,NA,"Gustavo Sangaré · 24&rsquor;","2","0","https://fbref.com/en/matches/5ddd2df6/Cameroon-Burkina-Faso-January-9-2022-Africa-Cup-of-Nations","Burkina Faso","Away",71,FALSE,2,"Substitute","Zakaria Sanogo for Cyrille Bayala","2:1",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Cameroon","4-1-4-1",2,NA,"Vincent Aboubakar (P) · 40&rsquor; Vincent Aboubakar (P) · 45+3&rsquor;","1","0","Burkina Faso","4-2-3-1",1,NA,"Gustavo Sangaré · 24&rsquor;","2","0","https://fbref.com/en/matches/5ddd2df6/Cameroon-Burkina-Faso-January-9-2022-Africa-Cup-of-Nations","Cameroon","Home",81,FALSE,2,"Substitute","Christian Bassogog for Moumi Ngamaleu","2:1",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Cameroon","4-1-4-1",2,NA,"Vincent Aboubakar (P) · 40&rsquor; Vincent Aboubakar (P) · 45+3&rsquor;","1","0","Burkina Faso","4-2-3-1",1,NA,"Gustavo Sangaré · 24&rsquor;","2","0","https://fbref.com/en/matches/5ddd2df6/Cameroon-Burkina-Faso-January-9-2022-Africa-Cup-of-Nations","Burkina Faso","Away",86,FALSE,2,"Substitute","Hassane Bandé for Bertrand Traoré","2:1",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Cameroon","4-1-4-1",2,NA,"Vincent Aboubakar (P) · 40&rsquor; Vincent Aboubakar (P) · 45+3&rsquor;","1","0","Burkina Faso","4-2-3-1",1,NA,"Gustavo Sangaré · 24&rsquor;","2","0","https://fbref.com/en/matches/5ddd2df6/Cameroon-Burkina-Faso-January-9-2022-Africa-Cup-of-Nations","Cameroon","Home",88,FALSE,2,"Substitute","Yvan Neyou for Vincent Aboubakar","2:1",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Ethiopia","4-1-4-1",0,NA,"Yared Bayeh · 9&rsquor;","1","1","Cape Verde","3-4-3",1,NA,"Júlio Tavares · 45+1&rsquor;","1","0","https://fbref.com/en/matches/e58e301a/Ethiopia-Cape-Verde-January-9-2022-Africa-Cup-of-Nations","Ethiopia","Home",9,FALSE,1,"Red Card","Yared Bayeh","0:0",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Ethiopia","4-1-4-1",0,NA,"Yared Bayeh · 9&rsquor;","1","1","Cape Verde","3-4-3",1,NA,"Júlio Tavares · 45+1&rsquor;","1","0","https://fbref.com/en/matches/e58e301a/Ethiopia-Cape-Verde-January-9-2022-Africa-Cup-of-Nations","Ethiopia","Home",15,FALSE,1,"Substitute","Mignot Debebe for Mesud Mohammed","0:0",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Ethiopia","4-1-4-1",0,NA,"Yared Bayeh · 9&rsquor;","1","1","Cape Verde","3-4-3",1,NA,"Júlio Tavares · 45+1&rsquor;","1","0","https://fbref.com/en/matches/e58e301a/Ethiopia-Cape-Verde-January-9-2022-Africa-Cup-of-Nations","Cape Verde","Away",25,FALSE,1,"Yellow Card","Garry Rodrigues","0:0",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Ethiopia","4-1-4-1",0,NA,"Yared Bayeh · 9&rsquor;","1","1","Cape Verde","3-4-3",1,NA,"Júlio Tavares · 45+1&rsquor;","1","0","https://fbref.com/en/matches/e58e301a/Ethiopia-Cape-Verde-January-9-2022-Africa-Cup-of-Nations","Ethiopia","Home",39,FALSE,1,"Yellow Card","Aschalew Tamene","0:0",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Ethiopia","4-1-4-1",0,NA,"Yared Bayeh · 9&rsquor;","1","1","Cape Verde","3-4-3",1,NA,"Júlio Tavares · 45+1&rsquor;","1","0","https://fbref.com/en/matches/e58e301a/Ethiopia-Cape-Verde-January-9-2022-Africa-Cup-of-Nations","Cape Verde","Away",46,FALSE,1,"Goal","Júlio Tavares Assist: Garry Rodrigues","0:1",NA,"Júlio Tavares","Garry Rodrigues",NA
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Ethiopia","4-1-4-1",0,NA,"Yared Bayeh · 9&rsquor;","1","1","Cape Verde","3-4-3",1,NA,"Júlio Tavares · 45+1&rsquor;","1","0","https://fbref.com/en/matches/e58e301a/Ethiopia-Cape-Verde-January-9-2022-Africa-Cup-of-Nations","Ethiopia","Home",62,FALSE,2,"Substitute","Firew Solomon for Getaneh Kebede","0:1",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Ethiopia","4-1-4-1",0,NA,"Yared Bayeh · 9&rsquor;","1","1","Cape Verde","3-4-3",1,NA,"Júlio Tavares · 45+1&rsquor;","1","0","https://fbref.com/en/matches/e58e301a/Ethiopia-Cape-Verde-January-9-2022-Africa-Cup-of-Nations","Ethiopia","Home",62,FALSE,2,"Substitute","Fitsum Alemu for Amanuel Gebremichael","0:1",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Ethiopia","4-1-4-1",0,NA,"Yared Bayeh · 9&rsquor;","1","1","Cape Verde","3-4-3",1,NA,"Júlio Tavares · 45+1&rsquor;","1","0","https://fbref.com/en/matches/e58e301a/Ethiopia-Cape-Verde-January-9-2022-Africa-Cup-of-Nations","Cape Verde","Away",68,FALSE,2,"Substitute","Willy Semedo for Garry Rodrigues","0:1",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Ethiopia","4-1-4-1",0,NA,"Yared Bayeh · 9&rsquor;","1","1","Cape Verde","3-4-3",1,NA,"Júlio Tavares · 45+1&rsquor;","1","0","https://fbref.com/en/matches/e58e301a/Ethiopia-Cape-Verde-January-9-2022-Africa-Cup-of-Nations","Cape Verde","Away",76,FALSE,2,"Substitute","Patrick Andrade for Jamiro Monteiro","0:1",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Ethiopia","4-1-4-1",0,NA,"Yared Bayeh · 9&rsquor;","1","1","Cape Verde","3-4-3",1,NA,"Júlio Tavares · 45+1&rsquor;","1","0","https://fbref.com/en/matches/e58e301a/Ethiopia-Cape-Verde-January-9-2022-Africa-Cup-of-Nations","Ethiopia","Home",82,FALSE,2,"Substitute","Mujib Kasim for Abubeker Nasir","0:1",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Ethiopia","4-1-4-1",0,NA,"Yared Bayeh · 9&rsquor;","1","1","Cape Verde","3-4-3",1,NA,"Júlio Tavares · 45+1&rsquor;","1","0","https://fbref.com/en/matches/e58e301a/Ethiopia-Cape-Verde-January-9-2022-Africa-Cup-of-Nations","Ethiopia","Home",82,FALSE,2,"Substitute","Bezabih Melayu for Surafel Dagnachew","0:1",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-09","Africa Cup of Nations (Group stage)","Ethiopia","4-1-4-1",0,NA,"Yared Bayeh · 9&rsquor;","1","1","Cape Verde","3-4-3",1,NA,"Júlio Tavares · 45+1&rsquor;","1","0","https://fbref.com/en/matches/e58e301a/Ethiopia-Cape-Verde-January-9-2022-Africa-Cup-of-Nations","Cape Verde","Away",86,FALSE,2,"Substitute","Vagner Gonçalves for Júlio Tavares","0:1",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-10","Africa Cup of Nations (Group stage)","Senegal","4-1-4-1",1,NA,"Sadio Mané (P) · 90+7&rsquor;","1","0","Zimbabwe","4-1-4-1",0,NA,"","2","0","https://fbref.com/en/matches/c5beed8c/Senegal-Zimbabwe-January-10-2022-Africa-Cup-of-Nations","Senegal","Home",31,FALSE,1,"Yellow Card","Keita Baldé","0:0",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-10","Africa Cup of Nations (Group stage)","Senegal","4-1-4-1",1,NA,"Sadio Mané (P) · 90+7&rsquor;","1","0","Zimbabwe","4-1-4-1",0,NA,"","2","0","https://fbref.com/en/matches/c5beed8c/Senegal-Zimbabwe-January-10-2022-Africa-Cup-of-Nations","Zimbabwe","Away",46,FALSE,2,"Substitute","Tino Kadewere for Prince Dube","0:0",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-10","Africa Cup of Nations (Group stage)","Senegal","4-1-4-1",1,NA,"Sadio Mané (P) · 90+7&rsquor;","1","0","Zimbabwe","4-1-4-1",0,NA,"","2","0","https://fbref.com/en/matches/c5beed8c/Senegal-Zimbabwe-January-10-2022-Africa-Cup-of-Nations","Zimbabwe","Away",52,FALSE,2,"Yellow Card","Teenage Hadebe","0:0",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-10","Africa Cup of Nations (Group stage)","Senegal","4-1-4-1",1,NA,"Sadio Mané (P) · 90+7&rsquor;","1","0","Zimbabwe","4-1-4-1",0,NA,"","2","0","https://fbref.com/en/matches/c5beed8c/Senegal-Zimbabwe-January-10-2022-Africa-Cup-of-Nations","Senegal","Home",64,FALSE,2,"Substitute","Habib Diallo for Keita Baldé","0:0",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-10","Africa Cup of Nations (Group stage)","Senegal","4-1-4-1",1,NA,"Sadio Mané (P) · 90+7&rsquor;","1","0","Zimbabwe","4-1-4-1",0,NA,"","2","0","https://fbref.com/en/matches/c5beed8c/Senegal-Zimbabwe-January-10-2022-Africa-Cup-of-Nations","Zimbabwe","Away",71,FALSE,2,"Substitute","Thabani Kamusoko for Kundai Benyu","0:0",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-10","Africa Cup of Nations (Group stage)","Senegal","4-1-4-1",1,NA,"Sadio Mané (P) · 90+7&rsquor;","1","0","Zimbabwe","4-1-4-1",0,NA,"","2","0","https://fbref.com/en/matches/c5beed8c/Senegal-Zimbabwe-January-10-2022-Africa-Cup-of-Nations","Senegal","Home",77,FALSE,2,"Substitute","Pape Gueye for Boulaye Dia","0:0",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-10","Africa Cup of Nations (Group stage)","Senegal","4-1-4-1",1,NA,"Sadio Mané (P) · 90+7&rsquor;","1","0","Zimbabwe","4-1-4-1",0,NA,"","2","0","https://fbref.com/en/matches/c5beed8c/Senegal-Zimbabwe-January-10-2022-Africa-Cup-of-Nations","Zimbabwe","Away",88,FALSE,2,"Substitute","Never Tigere for Knowledge Musona","0:0",NA,NA,NA,NA
"Africa Cup of Nations","2022-01-10","Africa Cup of Nations (Group stage)","Senegal","4-1-4-1",1,NA,"Sadio Mané (P) · 90+7&rsquor;","1","0","Zimbabwe","4-1-4-1",0,NA,"","2","0","https://fbref.com/en/matches/c5beed8c/Senegal-Zimbabwe-January-10-2022-Africa-Cup-of-Nations","Zimbabwe","Away",95,FALSE,2,"Yellow Card","Kelvin Madzongwe","0:0",NA,NA,NA,NA
