"","X","match_id","match_round","league_name","match_time_utc","home_team","away_team","pos_team","def_team","event_type","player_name","shot_type","situation","min","expected_goals","expected_goals_on_target","min_added","x","y","is_blocked","is_on_target","blocked_x","blocked_y","goal_crossed_y","goal_crossed_z","season_year","period","is_own_goal","on_goal_shot_x","on_goal_shot_y","on_goal_shot_zoom_ratio","is_saved_off_line"
"1",1,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","RB Leipzig","Werder Bremen","Miss","Xavi Simons","RightFoot","RegularPlay",20,0.174355149269104,NA,NA,96.3157894727,25.186875,FALSE,FALSE,103.2931034484,46.6631847099,60.3912796164,0.2696842092,"2023/2024","FirstHalf",FALSE,0,0.0102186863660985,0.143229129278409,FALSE
"2",2,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","Werder Bremen","RB Leipzig","Miss","Leonardo Bittencourt","RightFoot","RegularPlay",21,0.0287972390651703,NA,NA,80.5703883504,36.51625,FALSE,FALSE,NA,NA,42.6975,0.5329473658,"2023/2024","FirstHalf",FALSE,0,0.0612759259327393,0.434607645875252,FALSE
"3",3,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","RB Leipzig","Werder Bremen","AttemptSaved","Xavi Simons","RightFoot","RegularPlay",23,0.102532364428043,0.0497,NA,85.7088235288,35.6775,FALSE,TRUE,103.577586207,33.8475,34.7625,0.0834736838,"2023/2024","FirstHalf",FALSE,0.798280423280423,0.0220829851322751,1,FALSE
"4",4,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","RB Leipzig","Werder Bremen","AttemptSaved","Yussuf Poulsen","RightFoot","RegularPlay",31,0.237445086240768,0.8422,NA,101.9655172416,30.645,FALSE,TRUE,102.9137931036,31.4075,34.4575,0.0834736838,"2023/2024","FirstHalf",FALSE,0.878968253968253,0.0220829851322751,1,FALSE
"5",5,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","RB Leipzig","Werder Bremen","Miss","Amadou Haidara","RightFoot","RegularPlay",31,0.0247747674584389,NA,NA,93.6,18.3240764352,FALSE,FALSE,NA,NA,27.362380952,4.0980689704,"2023/2024","FirstHalf",FALSE,2,0.61740044747443,0.569481311395682,FALSE
"6",6,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","Werder Bremen","RB Leipzig","Miss","Justin Njinmah","Header","RegularPlay",32,0.331360995769501,NA,NA,98.4385964909,37.5075,FALSE,FALSE,103.1982758622,14.9610191088,0.8527014223,0.2696842092,"2023/2024","FirstHalf",FALSE,2,0.00813593326671367,0.114036442250018,FALSE
"7",7,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","Werder Bremen","RB Leipzig","AttemptSaved","Rafael Santos Borre","Header","RegularPlay",32,0.136446118354797,NA,NA,100.4482758624,38.284285716,FALSE,TRUE,104.7155172414,32.9325,32.475,1.219999994,"2023/2024","FirstHalf",FALSE,1.40343915343915,0.322751321164021,1,TRUE
"8",8,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","Werder Bremen","RB Leipzig","Miss","Rafael Santos Borre","RightFoot","RegularPlay",32,0.117002584040165,NA,NA,88.7,32.70375,FALSE,FALSE,NA,NA,41.888125,0.7127368386,"2023/2024","FirstHalf",FALSE,0,0.0903556724316615,0.479201331114809,FALSE
"9",9,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","Werder Bremen","RB Leipzig","Miss","Jens Stage","RightFoot","RegularPlay",35,0.289746761322021,NA,NA,101.5862068968,39.376904763,FALSE,FALSE,NA,NA,33.39,4.8280000072,"2023/2024","FirstHalf",FALSE,1.08556787334416,0.677248677248677,0.530240264329385,FALSE
"10",10,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","RB Leipzig","Werder Bremen","Miss","Ikoma Lois Openda","RightFoot","RegularPlay",38,0.0468999743461609,NA,NA,81.6966019424,35.29625,FALSE,FALSE,NA,NA,35.0675,3.255172416,"2023/2024","FirstHalf",FALSE,0.777903327206443,0.677248677248677,0.786440677432922,FALSE
