"Season","Squad","Comp","Player","Nation","Pos","Age","MP_Playing_Time","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G.A","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G.A_Per_Minutes","G_minus_PK_Per_Minutes","G.A_minus_PK_Per_Minutes","PlayerURL","LeagueName","LeagueURL","StatType"
"2021-2022","Schalke 04","2. Bundesliga","Marcin Kamiński","POL","DF",29,31,31,2790,31,2,2,4,2,0,0,6,0,0.06,0.06,0.13,0.06,0.13,"https://fbref.com/en/players/463503e2/Marcin-Kaminski","2021 2022 2 Bundesliga","https://fbref.com/en/comps/33/2021-2022/2021-2022-2-Bundesliga-Stats","standard"
"2021-2022","Schalke 04","2. Bundesliga","Ko Itakura","JPN","DF,MF",24,31,30,2665,29.6,4,0,4,4,0,0,3,0,0.14,0,0.14,0.14,0.14,"https://fbref.com/en/players/97d545ae/Ko-Itakura","2021 2022 2 Bundesliga","https://fbref.com/en/comps/33/2021-2022/2021-2022-2-Bundesliga-Stats","standard"
"2021-2022","Schalke 04","2. Bundesliga","Simon Terodde","GER","FW",33,30,30,2635,29.3,30,4,34,28,2,2,3,0,1.02,0.14,1.16,0.96,1.09,"https://fbref.com/en/players/863ff1ee/Simon-Terodde","2021 2022 2 Bundesliga","https://fbref.com/en/comps/33/2021-2022/2021-2022-2-Bundesliga-Stats","standard"
"2021-2022","Schalke 04","2. Bundesliga","Malick Thiaw","GER","DF",19,31,28,2546,28.3,2,0,2,2,0,0,3,0,0.07,0,0.07,0.07,0.07,"https://fbref.com/en/players/ff5ea0bf/Malick-Thiaw","2021 2022 2 Bundesliga","https://fbref.com/en/comps/33/2021-2022/2021-2022-2-Bundesliga-Stats","standard"
"2021-2022","Schalke 04","2. Bundesliga","Marius Bülter","GER","FW,MF",28,32,28,2466,27.4,10,10,20,10,0,0,2,0,0.36,0.36,0.73,0.36,0.73,"https://fbref.com/en/players/ab5b7dc1/Marius-Bulter","2021 2022 2 Bundesliga","https://fbref.com/en/comps/33/2021-2022/2021-2022-2-Bundesliga-Stats","standard"
"2021-2022","Schalke 04","2. Bundesliga","Thomas Ouwejan","NED","MF,DF",24,28,27,2405,26.7,3,8,11,3,0,0,1,0,0.11,0.3,0.41,0.11,0.41,"https://fbref.com/en/players/36d9dabe/Thomas-Ouwejan","2021 2022 2 Bundesliga","https://fbref.com/en/comps/33/2021-2022/2021-2022-2-Bundesliga-Stats","standard"
"2021-2022","Schalke 04","2. Bundesliga","Martin Fraisl","AUT","GK",28,26,26,2340,26,0,0,0,0,0,0,3,0,0,0,0,0,0,"https://fbref.com/en/players/11c59b89/Martin-Fraisl","2021 2022 2 Bundesliga","https://fbref.com/en/comps/33/2021-2022/2021-2022-2-Bundesliga-Stats","standard"
"2021-2022","Schalke 04","2. Bundesliga","Rodrigo Zalazar","URU","MF",21,30,25,2094,23.3,6,5,11,6,0,0,4,0,0.26,0.21,0.47,0.26,0.47,"https://fbref.com/en/players/fc3697dd/Rodrigo-Zalazar","2021 2022 2 Bundesliga","https://fbref.com/en/comps/33/2021-2022/2021-2022-2-Bundesliga-Stats","standard"
"2021-2022","Schalke 04","2. Bundesliga","Victor Pálsson","ISL","MF",30,28,21,1948,21.6,0,3,3,0,0,0,3,1,0,0.14,0.14,0,0.14,"https://fbref.com/en/players/831cf3ac/Victor-Palsson","2021 2022 2 Bundesliga","https://fbref.com/en/comps/33/2021-2022/2021-2022-2-Bundesliga-Stats","standard"
"2021-2022","Schalke 04","2. Bundesliga","Dominick Drexler","GER","MF",31,23,20,1739,19.3,3,5,8,3,0,0,5,0,0.16,0.26,0.41,0.16,0.41,"https://fbref.com/en/players/809940aa/Dominick-Drexler","2021 2022 2 Bundesliga","https://fbref.com/en/comps/33/2021-2022/2021-2022-2-Bundesliga-Stats","standard"
